Year,Area of spending sub-category,Observation status,Unit multiplier,Units,SERIES,Value
2000,,Undefined,Units,Percentage (%),Proportion of total government spending on essential services,65.15631434
2001,,Undefined,Units,Percentage (%),Proportion of total government spending on essential services,66.19322177
2002,,Undefined,Units,Percentage (%),Proportion of total government spending on essential services,66.95978205
2003,,Undefined,Units,Percentage (%),Proportion of total government spending on essential services,66.01007118
2004,,Undefined,Units,Percentage (%),Proportion of total government spending on essential services,65.6851937
2005,,Undefined,Units,Percentage (%),Proportion of total government spending on essential services,65.22631225
2006,,Undefined,Units,Percentage (%),Proportion of total government spending on essential services,64.85161006
2007,,Undefined,Units,Percentage (%),Proportion of total government spending on essential services,64.77870305
2008,,Undefined,Units,Percentage (%),Proportion of total government spending on essential services,62.37228481
2009,,Undefined,Units,Percentage (%),Proportion of total government spending on essential services,65.31672344
2010,,Undefined,Units,Percentage (%),Proportion of total government spending on essential services,65.24617464
2011,,Undefined,Units,Percentage (%),Proportion of total government spending on essential services,65.47982703
2012,,Undefined,Units,Percentage (%),Proportion of total government spending on essential services,65.78560864
2013,,Undefined,Units,Percentage (%),Proportion of total government spending on essential services,66.64518237
2014,,Undefined,Units,Percentage (%),Proportion of total government spending on essential services,67.38984609
2015,,Undefined,Units,Percentage (%),Proportion of total government spending on essential services,68.13987609
2000,,Undefined,Units,Percentage (%),Proportion of total government spending on health,14.29348403
2001,,Undefined,Units,Percentage (%),Proportion of total government spending on health,14.63225988
2002,,Undefined,Units,Percentage (%),Proportion of total government spending on health,14.90752479
2003,,Undefined,Units,Percentage (%),Proportion of total government spending on health,14.92465135
2004,,Undefined,Units,Percentage (%),Proportion of total government spending on health,15.36587128
2005,,Undefined,Units,Percentage (%),Proportion of total government spending on health,15.48696049
2006,,Undefined,Units,Percentage (%),Proportion of total government spending on health,15.83154679
2007,,Undefined,Units,Percentage (%),Proportion of total government spending on health,15.82307645
2008,,Undefined,Units,Percentage (%),Proportion of total government spending on health,15.45239939
2009,,Undefined,Units,Percentage (%),Proportion of total government spending on health,16.24346563
2010,,Undefined,Units,Percentage (%),Proportion of total government spending on health,16.02713196
2011,,Undefined,Units,Percentage (%),Proportion of total government spending on health,16.10505018
2012,,Undefined,Units,Percentage (%),Proportion of total government spending on health,16.03529042
2013,,Undefined,Units,Percentage (%),Proportion of total government spending on health,16.70873472
2014,,Undefined,Units,Percentage (%),Proportion of total government spending on health,17.29676359
2015,,Undefined,Units,Percentage (%),Proportion of total government spending on health,17.80501985
2000,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Proportion of total government spending on health,1.433259175
2001,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Proportion of total government spending on health,1.419122389
2002,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Proportion of total government spending on health,1.508060673
2003,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Proportion of total government spending on health,1.536606296
2004,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Proportion of total government spending on health,1.478386814
2005,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Proportion of total government spending on health,1.409825649
2006,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Proportion of total government spending on health,1.369521954
2007,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Proportion of total government spending on health,1.311266185
2008,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Proportion of total government spending on health,1.188448965
2009,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Proportion of total government spending on health,1.124990889
2010,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Proportion of total government spending on health,1.031348166
2011,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Proportion of total government spending on health,1.086470689
2012,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Proportion of total government spending on health,1.061984983
2013,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Proportion of total government spending on health,1.013235355
2014,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Proportion of total government spending on health,1.088474854
2015,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),Proportion of total government spending on health,1.019914215
2000,Outpatient services,Undefined,Units,Percentage (%),Proportion of total government spending on health,1.498266052
2001,Outpatient services,Undefined,Units,Percentage (%),Proportion of total government spending on health,1.523865405
2002,Outpatient services,Undefined,Units,Percentage (%),Proportion of total government spending on health,1.598647713
2003,Outpatient services,Undefined,Units,Percentage (%),Proportion of total government spending on health,1.498124258
2004,Outpatient services,Undefined,Units,Percentage (%),Proportion of total government spending on health,1.566580627
2005,Outpatient services,Undefined,Units,Percentage (%),Proportion of total government spending on health,1.604180311
2006,Outpatient services,Undefined,Units,Percentage (%),Proportion of total government spending on health,1.713907599
2007,Outpatient services,Undefined,Units,Percentage (%),Proportion of total government spending on health,1.665645333
2008,Outpatient services,Undefined,Units,Percentage (%),Proportion of total government spending on health,1.56148554
2009,Outpatient services,Undefined,Units,Percentage (%),Proportion of total government spending on health,1.835605549
2010,Outpatient services,Undefined,Units,Percentage (%),Proportion of total government spending on health,1.78351352
2011,Outpatient services,Undefined,Units,Percentage (%),Proportion of total government spending on health,1.849486254
2012,Outpatient services,Undefined,Units,Percentage (%),Proportion of total government spending on health,1.874674692
2013,Outpatient services,Undefined,Units,Percentage (%),Proportion of total government spending on health,1.822048289
2014,Outpatient services,Undefined,Units,Percentage (%),Proportion of total government spending on health,1.921569514
2015,Outpatient services,Undefined,Units,Percentage (%),Proportion of total government spending on health,1.840835993
2000,Hospital services,Undefined,Units,Percentage (%),Proportion of total government spending on health,10.92944294
2001,Hospital services,Undefined,Units,Percentage (%),Proportion of total government spending on health,11.18446894
2002,Hospital services,Undefined,Units,Percentage (%),Proportion of total government spending on health,11.3000027
2003,Hospital services,Undefined,Units,Percentage (%),Proportion of total government spending on health,11.36660623
2004,Hospital services,Undefined,Units,Percentage (%),Proportion of total government spending on health,11.81302912
2005,Hospital services,Undefined,Units,Percentage (%),Proportion of total government spending on health,11.92982643
2006,Hospital services,Undefined,Units,Percentage (%),Proportion of total government spending on health,12.23195651
2007,Hospital services,Undefined,Units,Percentage (%),Proportion of total government spending on health,12.33217265
2008,Hospital services,Undefined,Units,Percentage (%),Proportion of total government spending on health,12.2011436
2009,Hospital services,Undefined,Units,Percentage (%),Proportion of total government spending on health,12.66962538
2010,Hospital services,Undefined,Units,Percentage (%),Proportion of total government spending on health,12.55991708
2011,Hospital services,Undefined,Units,Percentage (%),Proportion of total government spending on health,12.67491834
2012,Hospital services,Undefined,Units,Percentage (%),Proportion of total government spending on health,12.42637093
2013,Hospital services,Undefined,Units,Percentage (%),Proportion of total government spending on health,12.83101251
2014,Hospital services,Undefined,Units,Percentage (%),Proportion of total government spending on health,12.99059879
2015,Hospital services,Undefined,Units,Percentage (%),Proportion of total government spending on health,13.38164878
2000,Public health services,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.037553773
2001,Public health services,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.040490934
2002,Public health services,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.039786367
2003,Public health services,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.040951474
2004,Public health services,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.042196178
2005,Public health services,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.05555526
2006,Public health services,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.046786987
2007,Public health services,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.040536667
2008,Public health services,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.040720786
2009,Public health services,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.055149309
2010,Public health services,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.071086377
2011,Public health services,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.066780392
2012,Public health services,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.068153592
2013,Public health services,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.358285991
2014,Public health services,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.474582573
2015,Public health services,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.518004137
2000,Research and development - health,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.219624825
2001,Research and development - health,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.287315912
2002,Research and development - health,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.310423579
2003,Research and development - health,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.319380336
2004,Research and development - health,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.282828436
2005,Research and development - health,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.285053505
2006,Research and development - health,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.297932851
2007,Research and development - health,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.308142011
2008,Research and development - health,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.344133359
2009,Research and development - health,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.355238565
2010,Research and development - health,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.428901047
