Year,Value,Units,Observation status,Unit multiplier,SERIES
2008,8.5,Percentage (%),Undefined,Units,_L_010202
2009,8.0,Percentage (%),Undefined,Units,_L_010202
2010,7.4,Percentage (%),Undefined,Units,_L_010202
2011,6.9,Percentage (%),Undefined,Units,_L_010202
2012,8.6,Percentage (%),Undefined,Units,_L_010202
2013,7.8,Percentage (%),Undefined,Units,_L_010202
2014,6.5,Percentage (%),Undefined,Units,_L_010202
2015,7.3,Percentage (%),Undefined,Units,_L_010202
2016,9.4,Percentage (%),Undefined,Units,_L_010202
2017,7.8,Percentage (%),Undefined,Units,_L_010202
2018,8.6,Percentage (%),Undefined,Units,_L_010202
