Year,Value,Units,Observation status,Unit multiplier,SERIES
2000,65.15631434,Percentage (%),Undefined,Units,Proportion of total government spending on essential services
2001,66.19322177,Percentage (%),Undefined,Units,Proportion of total government spending on essential services
2002,66.95978205,Percentage (%),Undefined,Units,Proportion of total government spending on essential services
2003,66.01007118,Percentage (%),Undefined,Units,Proportion of total government spending on essential services
2004,65.6851937,Percentage (%),Undefined,Units,Proportion of total government spending on essential services
2005,65.22631225,Percentage (%),Undefined,Units,Proportion of total government spending on essential services
2006,64.85161006,Percentage (%),Undefined,Units,Proportion of total government spending on essential services
2007,64.77870305,Percentage (%),Undefined,Units,Proportion of total government spending on essential services
2008,62.37228481,Percentage (%),Undefined,Units,Proportion of total government spending on essential services
2009,65.31672344,Percentage (%),Undefined,Units,Proportion of total government spending on essential services
2010,65.24617464,Percentage (%),Undefined,Units,Proportion of total government spending on essential services
2011,65.47982703,Percentage (%),Undefined,Units,Proportion of total government spending on essential services
2012,65.78560864,Percentage (%),Undefined,Units,Proportion of total government spending on essential services
2013,66.64518237,Percentage (%),Undefined,Units,Proportion of total government spending on essential services
2014,67.38984609,Percentage (%),Undefined,Units,Proportion of total government spending on essential services
2015,68.13987609,Percentage (%),Undefined,Units,Proportion of total government spending on essential services
2000,14.29348403,Percentage (%),Undefined,Units,Proportion of total government spending on health
2001,14.63225988,Percentage (%),Undefined,Units,Proportion of total government spending on health
2002,14.90752479,Percentage (%),Undefined,Units,Proportion of total government spending on health
2003,14.92465135,Percentage (%),Undefined,Units,Proportion of total government spending on health
2004,15.36587128,Percentage (%),Undefined,Units,Proportion of total government spending on health
2005,15.48696049,Percentage (%),Undefined,Units,Proportion of total government spending on health
2006,15.83154679,Percentage (%),Undefined,Units,Proportion of total government spending on health
2007,15.82307645,Percentage (%),Undefined,Units,Proportion of total government spending on health
2008,15.45239939,Percentage (%),Undefined,Units,Proportion of total government spending on health
2009,16.24346563,Percentage (%),Undefined,Units,Proportion of total government spending on health
2010,16.02713196,Percentage (%),Undefined,Units,Proportion of total government spending on health
2011,16.10505018,Percentage (%),Undefined,Units,Proportion of total government spending on health
2012,16.03529042,Percentage (%),Undefined,Units,Proportion of total government spending on health
2013,16.70873472,Percentage (%),Undefined,Units,Proportion of total government spending on health
2014,17.29676359,Percentage (%),Undefined,Units,Proportion of total government spending on health
2015,17.80501985,Percentage (%),Undefined,Units,Proportion of total government spending on health
2000,13.07518783,Percentage (%),Undefined,Units,"Proportion of total government spending on essential services, education"
2001,13.67938939,Percentage (%),Undefined,Units,"Proportion of total government spending on essential services, education"
2002,14.70746905,Percentage (%),Undefined,Units,"Proportion of total government spending on essential services, education"
2003,13.8393344,Percentage (%),Undefined,Units,"Proportion of total government spending on essential services, education"
2004,13.52121403,Percentage (%),Undefined,Units,"Proportion of total government spending on essential services, education"
2005,13.70652978,Percentage (%),Undefined,Units,"Proportion of total government spending on essential services, education"
2006,14.09341022,Percentage (%),Undefined,Units,"Proportion of total government spending on essential services, education"
2007,13.97802469,Percentage (%),Undefined,Units,"Proportion of total government spending on essential services, education"
2008,13.34346132,Percentage (%),Undefined,Units,"Proportion of total government spending on essential services, education"
2009,13.51886973,Percentage (%),Undefined,Units,"Proportion of total government spending on essential services, education"
2010,13.58213124,Percentage (%),Undefined,Units,"Proportion of total government spending on essential services, education"
2011,12.94058529,Percentage (%),Undefined,Units,"Proportion of total government spending on essential services, education"
2012,12.36504558,Percentage (%),Undefined,Units,"Proportion of total government spending on essential services, education"
2013,12.02927525,Percentage (%),Undefined,Units,"Proportion of total government spending on essential services, education"
2014,12.26842431,Percentage (%),Undefined,Units,"Proportion of total government spending on essential services, education"
2015,11.9515232,Percentage (%),Undefined,Units,"Proportion of total government spending on essential services, education"
2000,37.78764248,Percentage (%),Undefined,Units,Proportion of total government spending on social protection
2001,37.8815725,Percentage (%),Undefined,Units,Proportion of total government spending on social protection
2002,37.34478821,Percentage (%),Undefined,Units,Proportion of total government spending on social protection
2003,37.24608543,Percentage (%),Undefined,Units,Proportion of total government spending on social protection
2004,36.79810839,Percentage (%),Undefined,Units,Proportion of total government spending on social protection
2005,36.03282198,Percentage (%),Undefined,Units,Proportion of total government spending on social protection
2006,34.92665304,Percentage (%),Undefined,Units,Proportion of total government spending on social protection
2007,34.97760191,Percentage (%),Undefined,Units,Proportion of total government spending on social protection
2008,33.57642409,Percentage (%),Undefined,Units,Proportion of total government spending on social protection
2009,35.55438808,Percentage (%),Undefined,Units,Proportion of total government spending on social protection
2010,35.63691144,Percentage (%),Undefined,Units,Proportion of total government spending on social protection
2011,36.43419156,Percentage (%),Undefined,Units,Proportion of total government spending on social protection
2012,37.38527264,Percentage (%),Undefined,Units,Proportion of total government spending on social protection
2013,37.90717241,Percentage (%),Undefined,Units,Proportion of total government spending on social protection
2014,37.8246582,Percentage (%),Undefined,Units,Proportion of total government spending on social protection
2015,38.38333304,Percentage (%),Undefined,Units,Proportion of total government spending on social protection
2000,17.19810667,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on essential services
2001,18.19998747,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on essential services
2002,19.3823553,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on essential services
2003,20.19938049,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on essential services
2004,21.25898225,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on essential services
2005,21.92779266,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on essential services
2006,22.60317812,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on essential services
2007,23.27682002,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on essential services
2008,25.04367671,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on essential services
2009,28.3376781,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on essential services
2010,28.91882251,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on essential services
2011,28.63680448,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on essential services
2012,29.09953406,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on essential services
2013,28.92871702,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on essential services
2014,29.06991488,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on essential services
2015,28.9170488,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on essential services
2000,3.772786498,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on health
2001,4.023175475,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on health
2002,4.315171484,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on health
2003,4.567010848,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on health
