Year,Value,Units,Observation status,Unit multiplier
2004,0.4,Percentage (%),Estimate,Units
2005,0.5,Percentage (%),Estimate,Units
2006,0.2,Percentage (%),Estimate,Units
2007,0.3,Percentage (%),Estimate,Units
2008,0.3,Percentage (%),Estimate,Units
2009,0.2,Percentage (%),Estimate,Units
2010,0.1,Percentage (%),Estimate,Units
2011,0.4,Percentage (%),Estimate,Units
2012,0.2,Percentage (%),Estimate,Units
2013,0.2,Percentage (%),Estimate,Units
2014,0.2,Percentage (%),Estimate,Units
2015,0.1,Percentage (%),Estimate,Units
2016,0.2,Percentage (%),Estimate,Units
