Year,Value,Units,Observation status,Unit multiplier,SERIES
2005,19.0,Percentage (%),Undefined,Units,_L_010a02
2006,19.0,Percentage (%),Undefined,Units,_L_010a02
2007,18.6,Percentage (%),Undefined,Units,_L_010a02
2008,18.7,Percentage (%),Undefined,Units,_L_010a02
2009,17.3,Percentage (%),Undefined,Units,_L_010a02
2010,17.1,Percentage (%),Undefined,Units,_L_010a02
2011,16.2,Percentage (%),Undefined,Units,_L_010a02
2012,16.0,Percentage (%),Undefined,Units,_L_010a02
2013,15.9,Percentage (%),Undefined,Units,_L_010a02
2014,16.8,Percentage (%),Undefined,Units,_L_010a02
2015,16.6,Percentage (%),Undefined,Units,_L_010a02
2016,15.9,Percentage (%),Undefined,Units,_L_010a02
2017,17.0,Percentage (%),Undefined,Units,_L_010a02
2018,18.9,Percentage (%),Undefined,Units,_L_010a02
