Year,Value,Units,Series,Observation status,Unit multiplier
2000,65.15631434,Percentage (%),Proportion of total government spending on essential services,Undefined,Units
2001,66.19322177,Percentage (%),Proportion of total government spending on essential services,Undefined,Units
2002,66.95978205,Percentage (%),Proportion of total government spending on essential services,Undefined,Units
2003,66.01007118,Percentage (%),Proportion of total government spending on essential services,Undefined,Units
2004,65.6851937,Percentage (%),Proportion of total government spending on essential services,Undefined,Units
2005,65.22631225,Percentage (%),Proportion of total government spending on essential services,Undefined,Units
2006,64.85161006,Percentage (%),Proportion of total government spending on essential services,Undefined,Units
2007,64.77870305,Percentage (%),Proportion of total government spending on essential services,Undefined,Units
2008,62.37228481,Percentage (%),Proportion of total government spending on essential services,Undefined,Units
2009,65.31672344,Percentage (%),Proportion of total government spending on essential services,Undefined,Units
2010,65.24617464,Percentage (%),Proportion of total government spending on essential services,Undefined,Units
2011,65.47982703,Percentage (%),Proportion of total government spending on essential services,Undefined,Units
2012,65.78560864,Percentage (%),Proportion of total government spending on essential services,Undefined,Units
2013,66.64518237,Percentage (%),Proportion of total government spending on essential services,Undefined,Units
2014,67.38984609,Percentage (%),Proportion of total government spending on essential services,Undefined,Units
2015,68.13987609,Percentage (%),Proportion of total government spending on essential services,Undefined,Units
2000,14.29348403,Percentage (%),Proportion of total government spending on health,Undefined,Units
2001,14.63225988,Percentage (%),Proportion of total government spending on health,Undefined,Units
2002,14.90752479,Percentage (%),Proportion of total government spending on health,Undefined,Units
2003,14.92465135,Percentage (%),Proportion of total government spending on health,Undefined,Units
2004,15.36587128,Percentage (%),Proportion of total government spending on health,Undefined,Units
2005,15.48696049,Percentage (%),Proportion of total government spending on health,Undefined,Units
2006,15.83154679,Percentage (%),Proportion of total government spending on health,Undefined,Units
2007,15.82307645,Percentage (%),Proportion of total government spending on health,Undefined,Units
2008,15.45239939,Percentage (%),Proportion of total government spending on health,Undefined,Units
2009,16.24346563,Percentage (%),Proportion of total government spending on health,Undefined,Units
2010,16.02713196,Percentage (%),Proportion of total government spending on health,Undefined,Units
2011,16.10505018,Percentage (%),Proportion of total government spending on health,Undefined,Units
2012,16.03529042,Percentage (%),Proportion of total government spending on health,Undefined,Units
2013,16.70873472,Percentage (%),Proportion of total government spending on health,Undefined,Units
2014,17.29676359,Percentage (%),Proportion of total government spending on health,Undefined,Units
2015,17.80501985,Percentage (%),Proportion of total government spending on health,Undefined,Units
2000,13.07518783,Percentage (%),"Proportion of total government spending on essential services, education",Undefined,Units
2001,13.67938939,Percentage (%),"Proportion of total government spending on essential services, education",Undefined,Units
2002,14.70746905,Percentage (%),"Proportion of total government spending on essential services, education",Undefined,Units
2003,13.8393344,Percentage (%),"Proportion of total government spending on essential services, education",Undefined,Units
2004,13.52121403,Percentage (%),"Proportion of total government spending on essential services, education",Undefined,Units
2005,13.70652978,Percentage (%),"Proportion of total government spending on essential services, education",Undefined,Units
2006,14.09341022,Percentage (%),"Proportion of total government spending on essential services, education",Undefined,Units
2007,13.97802469,Percentage (%),"Proportion of total government spending on essential services, education",Undefined,Units
2008,13.34346132,Percentage (%),"Proportion of total government spending on essential services, education",Undefined,Units
2009,13.51886973,Percentage (%),"Proportion of total government spending on essential services, education",Undefined,Units
2010,13.58213124,Percentage (%),"Proportion of total government spending on essential services, education",Undefined,Units
2011,12.94058529,Percentage (%),"Proportion of total government spending on essential services, education",Undefined,Units
2012,12.36504558,Percentage (%),"Proportion of total government spending on essential services, education",Undefined,Units
2013,12.02927525,Percentage (%),"Proportion of total government spending on essential services, education",Undefined,Units
2014,12.26842431,Percentage (%),"Proportion of total government spending on essential services, education",Undefined,Units
2015,11.9515232,Percentage (%),"Proportion of total government spending on essential services, education",Undefined,Units
2000,37.78764248,Percentage (%),Proportion of total government spending on social protection,Undefined,Units
2001,37.8815725,Percentage (%),Proportion of total government spending on social protection,Undefined,Units
2002,37.34478821,Percentage (%),Proportion of total government spending on social protection,Undefined,Units
2003,37.24608543,Percentage (%),Proportion of total government spending on social protection,Undefined,Units
2004,36.79810839,Percentage (%),Proportion of total government spending on social protection,Undefined,Units
2005,36.03282198,Percentage (%),Proportion of total government spending on social protection,Undefined,Units
2006,34.92665304,Percentage (%),Proportion of total government spending on social protection,Undefined,Units
2007,34.97760191,Percentage (%),Proportion of total government spending on social protection,Undefined,Units
2008,33.57642409,Percentage (%),Proportion of total government spending on social protection,Undefined,Units
2009,35.55438808,Percentage (%),Proportion of total government spending on social protection,Undefined,Units
2010,35.63691144,Percentage (%),Proportion of total government spending on social protection,Undefined,Units
2011,36.43419156,Percentage (%),Proportion of total government spending on social protection,Undefined,Units
2012,37.38527264,Percentage (%),Proportion of total government spending on social protection,Undefined,Units
2013,37.90717241,Percentage (%),Proportion of total government spending on social protection,Undefined,Units
2014,37.8246582,Percentage (%),Proportion of total government spending on social protection,Undefined,Units
2015,38.38333304,Percentage (%),Proportion of total government spending on social protection,Undefined,Units
2000,17.19810667,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,Undefined,Units
2001,18.19998747,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,Undefined,Units
2002,19.3823553,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,Undefined,Units
2003,20.19938049,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,Undefined,Units
2004,21.25898225,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,Undefined,Units
2005,21.92779266,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,Undefined,Units
2006,22.60317812,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,Undefined,Units
2007,23.27682002,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,Undefined,Units
2008,25.04367671,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,Undefined,Units
2009,28.3376781,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,Undefined,Units
2010,28.91882251,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,Undefined,Units
2011,28.63680448,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,Undefined,Units
2012,29.09953406,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,Undefined,Units
