Year,Value,Units,Observation status,Unit multiplier,SERIES
1990,100.0,Percentage (%),Estimate,Units,EG_ACS_ELEC
1991,100.0,Percentage (%),Estimate,Units,EG_ACS_ELEC
1992,100.0,Percentage (%),Estimate,Units,EG_ACS_ELEC
1993,100.0,Percentage (%),Estimate,Units,EG_ACS_ELEC
1994,100.0,Percentage (%),Estimate,Units,EG_ACS_ELEC
1995,100.0,Percentage (%),Estimate,Units,EG_ACS_ELEC
1996,100.0,Percentage (%),Estimate,Units,EG_ACS_ELEC
1997,100.0,Percentage (%),Estimate,Units,EG_ACS_ELEC
1998,100.0,Percentage (%),Estimate,Units,EG_ACS_ELEC
1999,100.0,Percentage (%),Estimate,Units,EG_ACS_ELEC
2000,100.0,Percentage (%),Estimate,Units,EG_ACS_ELEC
2001,100.0,Percentage (%),Estimate,Units,EG_ACS_ELEC
2002,100.0,Percentage (%),Estimate,Units,EG_ACS_ELEC
2003,100.0,Percentage (%),Estimate,Units,EG_ACS_ELEC
2004,100.0,Percentage (%),Estimate,Units,EG_ACS_ELEC
2005,100.0,Percentage (%),Estimate,Units,EG_ACS_ELEC
2006,100.0,Percentage (%),Estimate,Units,EG_ACS_ELEC
2007,100.0,Percentage (%),Estimate,Units,EG_ACS_ELEC
2008,100.0,Percentage (%),Estimate,Units,EG_ACS_ELEC
2009,100.0,Percentage (%),Estimate,Units,EG_ACS_ELEC
2010,100.0,Percentage (%),Estimate,Units,EG_ACS_ELEC
2011,100.0,Percentage (%),Estimate,Units,EG_ACS_ELEC
2012,100.0,Percentage (%),Estimate,Units,EG_ACS_ELEC
2013,100.0,Percentage (%),Estimate,Units,EG_ACS_ELEC
2014,100.0,Percentage (%),Estimate,Units,EG_ACS_ELEC
2015,100.0,Percentage (%),Estimate,Units,EG_ACS_ELEC
2016,100.0,Percentage (%),Estimate,Units,EG_ACS_ELEC
2017,100.0,Percentage (%),Estimate,Units,EG_ACS_ELEC
2018,100.0,Percentage (%),Estimate,Units,EG_ACS_ELEC
